id,title,category,date,link
11459067,"Aux États-Unis, comme en 1920, ""des hommes d’affaires dominent le paysage politique, mais il y a une vitalité démocratique de la jeunesse""",Élection américaine 2024,2024-11-05T13:45:04+01:00,https://www.rtbf.be/article/aux-etats-unis-comme-en-1920-des-hommes-d-affaires-dominent-le-paysage-politique-mais-il-y-a-une-vitalite-democratique-de-la-jeunesse-11459067
11449204,"""Pictures of Lily"" des Who, pin-up et plaisirs solitaires coupables…",Classic 21,2024-11-05T13:45:00+01:00,https://www.rtbf.be/article/pictures-of-lily-des-who-pin-up-et-plaisirs-solitaires-coupables-11449204
11459212,Kris Verduyckt est le nouveau chef du groupe Vooruit au Parlement flamand,Politique,2024-11-05T13:42:56+01:00,https://www.rtbf.be/article/kris-verduyckt-est-le-nouveau-chef-du-groupe-vooruit-au-parlement-flamand-11459212
11459181,Bangladesh : 200 personnes enlevées sous le règne de l'ex-Première ministre Hasina toujours portées disparues,Asie,2024-11-05T13:34:35+01:00,https://www.rtbf.be/article/bangladesh-200-personnes-enlevees-sous-le-regne-de-l-ex-premiere-ministre-hasina-toujours-portees-disparues-11459181
11459151,"Le prix Femina 2024 est attribué à Miguel Bonnefoy pour ""Le rêve du jaguar""",Littérature,2024-11-05T13:21:37+01:00,https://www.rtbf.be/article/le-prix-femina-2024-est-attribue-a-miguel-bonnefoy-pour-le-reve-du-jaguar-11459151
11459163,Soupçons de fraude fiscale par Netflix : perquisitions à Paris et à Amsterdam,Justice,2024-11-05T13:21:26+01:00,https://www.rtbf.be/article/soupcons-de-fraude-fiscale-par-netflix-perquisitions-a-paris-et-a-amsterdam-11459163
11459196,"Inondations en Espagne : premier plan d'aide de 10,6 milliards d'euros annoncé par Sánchez",Europe,2024-11-05T13:10:18+01:00,https://www.rtbf.be/article/inondations-en-espagne-premier-plan-d-aide-de-10-6-milliards-d-euros-annonce-par-sanchez-11459196
11459165,"Aux assises de Bruxelles, le jury est entré en délibération dans le procès de l’assassinat de Soufiane Benali",Bruxelles,2024-11-05T13:09:56+01:00,https://www.rtbf.be/article/aux-assises-de-bruxelles-le-jury-est-entre-en-deliberation-dans-le-proces-de-l-assassinat-de-soufiane-benali-11459165
11458952,"""Staten Island restera un bastion républicain grâce à des gens comme moi"": portraits de New-Yorkais pro-Trump",Élection américaine 2024,2024-11-05T07:00:00+01:00,https://www.rtbf.be/article/si-staten-island-reste-un-bastion-republicain-c-est-grace-a-des-gens-comme-moi-portraits-de-new-yorkais-pro-trump-11458952
11456371,"Gagnez des places pour l'expo: Hans/Jean Arp & Sophie Taeuber-Arp. Friends, Lovers, Partners",Musiq3 - Concours,2024-11-05T13:00:00+01:00,https://www.rtbf.be/article/gagnez-des-places-pour-l-expo-hans-jean-arp-sophie-taeuber-arp-friends-lovers-partners-11456371
11451023,"Les 58e Fêtes de la Saint-Martin, du 10/11 au 1/12, à Tourinnes-la-Grosse et environs",Les choix de La Prem1ère,2024-11-05T13:00:00+01:00,https://www.rtbf.be/article/lles-58es-fetes-de-la-saint-martin-du-10-11-au-1-12-a-tourinnes-la-grosse-et-environs-11451023
11459160,"Loena Hendrickx se fixe l'Euro comme objectif : ""Revenir aux bases et construire pas à pas""",Sports d'hiver,2024-11-05T12:54:34+01:00,https://www.rtbf.be/article/loena-hendrickx-se-fixe-l-euro-comme-objectif-revenir-aux-bases-et-construire-pas-a-pas-11459160
11459180,"ATP Finals : blessé, Novak Djokovic déclare forfait pour le Masters",Tennis,2024-11-05T12:51:34+01:00,https://www.rtbf.be/article/atp-finals-blesse-novak-djokovic-declare-forfait-pour-le-masters-11459180
11458817,"Diables Rouges – le baromètre des défenseurs : de grands maux, beaucoup de blessés… mais peu de remèdes",Football,2024-11-05T12:00:15+01:00,https://www.rtbf.be/article/diables-rouges-le-barometre-des-defenseurs-de-grands-maux-beaucoup-de-blesses-mais-peu-de-remedes-11458817
11459054,"France : la vente de pneus de camions s’effondre, Michelin décide de fermer ses usines de Vannes et Cholet, 1200 emplois menacés",Europe,2024-11-05T12:44:49+01:00,https://www.rtbf.be/article/france-la-vente-de-pneus-de-camions-s-effondre-michelin-decide-de-fermer-ses-usines-de-vannes-et-cholet-1200-emplois-menaces-11459054
11457461,"Derrière le duel Trump-Harris, d’autres élections vont marquer la vie des Américains ce 5 novembre",Élection américaine 2024,2024-11-01T07:03:00+01:00,https://www.rtbf.be/article/derriere-le-duel-trump-harris-d-autres-elections-vont-marquer-la-vie-des-americains-le-5-novembre-11457461
11459127,"Art Garfunkel et Paul Simon se retrouvent après des années : ""J’ai pleuré parce que j’avais l’impression de l’avoir blessé""",Journal du Rock,2024-11-05T12:39:00+01:00,https://www.rtbf.be/article/art-garfunkel-et-paul-simon-se-retrouvent-apres-des-annees-j-ai-pleure-parce-que-j-avais-l-impression-de-l-avoir-blesse-11459127
11459167,L’Atomium volera bientôt avec Brussels Airlines,Bruxelles,2024-11-05T12:35:34+01:00,https://www.rtbf.be/article/l-atomium-volera-bientot-avec-brussels-airlines-11459167
11459024,Les Européens et les Américains n’envisagent pas le travail de la même façon,Emploi,2024-11-05T12:30:00+01:00,https://www.rtbf.be/article/les-europeens-et-les-americains-n-envisagent-pas-le-travail-de-la-meme-facon-11459024
11459081,À la découverte des baies sauvages de l’automne,Quel Temps pour la planète ?,2024-11-05T12:20:33+01:00,https://www.rtbf.be/article/a-la-decouverte-des-baies-sauvages-de-l-automne-11459081
11459144,Début des travaux de construction de la future caserne de pompiers à Cureghem,Bruxelles,2024-11-05T12:15:35+01:00,https://www.rtbf.be/article/bruxelles-debut-des-travaux-de-construction-de-la-future-caserne-de-pompiers-a-cureghem-11459144
11457284,Election présidentielle aux Etats-Unis : suivez les résultats minute par minute avec notre carte interactive,Élection américaine 2024,2024-11-05T11:23:22+01:00,https://www.rtbf.be/article/election-presidentielle-aux-etats-unis-suivez-les-resultats-minute-par-minute-avec-notre-carte-interactive-11457284
11459121,"Guerre en Ukraine : six morts, neuf blessés dans une frappe russe sur la ville de Zaporijjia",Guerre en Ukraine,2024-11-05T12:14:26+01:00,https://www.rtbf.be/article/guerre-en-ukraine-six-morts-neuf-blesses-dans-une-frappe-russe-sur-la-ville-de-zaporijjia-11459121
11459068,"Frameries : la nouvelle majorité ""Be Frameries – MR & Vous"" vacille avant même son installation",Hainaut,2024-11-05T12:12:16+01:00,https://www.rtbf.be/article/frameries-la-nouvelle-majorite-be-frameries-mr-vous-vacille-avant-meme-son-installation-11459068
11459077,"Chimène Badi présente son nouvel album ""Gospel & Soul"" : ""J’ai besoin de m’exprimer comme je le ressens""",Musique,2024-11-05T12:07:44+01:00,https://www.rtbf.be/article/chimene-badi-presente-son-nouvel-album-gospel-soul-j-ai-besoin-de-m-exprimer-comme-je-le-ressens-11459077
11459147,"""Les Soeurs Hilton"", la dure histoire de sœurs siamoises, exploitées en phénomène de foire, portée au Théâtre",Théâtre,2024-11-05T12:07:22+01:00,https://www.rtbf.be/article/les-soeurs-hilton-la-dure-histoire-de-s-urs-siamoises-exploitees-en-phenomene-de-foire-portee-au-theatre-11459147
11449652,Ce week-end : troisième édition de l’UCLAN sur le campus de Mons de l’UCLouvain,Jeux vidéo,2024-10-15T13:37:47+02:00,https://www.rtbf.be/article/troisieme-edition-de-l-uclan-sur-le-campus-de-mons-de-l-uclouvain-les-8-9-10-octobre-11449652
11459102,Débat : pour ou contre la vie en coloc ?,Vivacité,2024-11-05T12:00:09+01:00,https://www.rtbf.be/article/debat-pour-ou-contre-la-vie-en-coloc-11459102
11458871,"Michel Denisot : ""Les bébés Canal +, c’est la moitié du cinéma français""",Cinéma,2024-11-05T11:57:27+01:00,https://www.rtbf.be/article/michel-denisot-les-bebes-canal-c-est-la-moitie-du-cinema-francais-11458871
11459095,Russie : un Américain condamné en appel à douze ans et demi de prison dans une affaire de drogue,Amérique du Nord,2024-11-05T11:56:14+01:00,https://www.rtbf.be/article/russie-un-americain-condamne-en-appel-a-douze-ans-et-demi-de-prison-dans-une-affaire-de-drogue-11459095
11459079,Comment Julia Roberts a provoqué la colère de Donald Trump,Élection américaine 2024,2024-11-05T11:52:18+01:00,https://www.rtbf.be/article/comment-julia-roberts-a-provoque-la-colere-de-donald-trump-11459079
11459100,Soudan : dix civils tués dans une attaque attribuée aux paramilitaires,Afrique,2024-11-05T11:49:52+01:00,https://www.rtbf.be/article/soudan-dix-civils-tues-dans-une-attaque-attribuee-aux-paramilitaires-11459100
11459123,La plateforme énergétique Bolt propose l’électricité produite par la centrale hydroélectrique de Poix-Saint-Hubert,Luxembourg,2024-11-05T11:48:46+01:00,https://www.rtbf.be/article/la-plateforme-energetique-bolt-propose-l-electricite-produite-par-la-centrale-hydroelectrique-de-poix-saint-hubert-11459123
11459107,Thales Belgium s'associe à l'Ukraine pour la production de missiles anti-drones,Guerre en Ukraine,2024-11-05T11:45:08+01:00,https://www.rtbf.be/article/thales-belgium-s-associe-a-l-ukraine-pour-la-production-de-missiles-anti-drones-11459107
11458621,L’E411 en chantier permanent : la galère des automobilistes continue,Mobilinfo,2024-11-05T11:44:30+01:00,https://www.rtbf.be/article/l-e411-en-chantier-permanent-la-galere-des-automobilistes-continue-11458621
11459069,"Waremme : Raphaël Dubois, le futur bourgmestre, a présenté son équipe pour la nouvelle mandature",Liège,2024-11-05T11:32:19+01:00,https://www.rtbf.be/article/waremme-raphael-dubois-le-futur-bourgmestre-a-presente-son-equipe-pour-la-nouvelle-mandature-11459069
11459096,"Des trafiquants de drogue opèrent à ""grande échelle"" dans les soins de santé néerlandais",Europe,2024-11-05T11:30:52+01:00,https://www.rtbf.be/article/des-trafiquants-de-drogue-operent-a-grande-echelle-dans-les-soins-de-sante-neerlandais-11459096
11459086,"La minute insolite : un inventeur dévoile son clone robot, alimenté par une IA",High tech,2024-11-05T11:30:11+01:00,https://www.rtbf.be/article/la-minute-insolite-un-inventeur-devoile-son-clone-robot-alimente-par-une-ia-11459086
11459075,BioShock : tous les scandales qui entourent ce jeu vidéo légendaire,Jeux vidéo,2024-11-05T11:30:00+01:00,https://www.rtbf.be/article/derniere-game-ce-jeu-video-legendaire-a-ete-developpe-de-la-pire-des-manieres-11459075
11459108,Cisjordanie : quatre Palestiniens tués dans des attaques israéliennes,Guerre au Proche-Orient,2024-11-05T11:24:23+01:00,https://www.rtbf.be/article/cisjordanie-quatre-palestiniens-tues-dans-des-attaques-israeliennes-11459108
